% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 41.98    0.000055           6         8           mmap
 17.56    0.000023           7         3           mprotect
 12.98    0.000017          17         1           munmap
  8.40    0.000011          11         1           write
  3.82    0.000005           2         2           pread64
  3.05    0.000004           2         2           close
  3.05    0.000004           4         1           arch_prctl
  2.29    0.000003           3         1           set_tid_address
  2.29    0.000003           3         1           set_robust_list
  2.29    0.000003           3         1           prlimit64
  2.29    0.000003           3         1           rseq
  0.00    0.000000           0         1           read
  0.00    0.000000           0         2           fstat
  0.00    0.000000           0         1           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           openat
------ ----------- ----------- --------- --------- ----------------
100.00    0.000131           4        30         1 total
